id,name,team,pastTeams,role,battingHand,jerseyNo,debutYear,auctionPrice,matches,playerLink
26,Yudhvir Singh,RR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/yudhvir-singh-1206052
1,Rajat Patidar,RCB,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/rajat-patidar-823703
2,Jordan Cox,RCB,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/jordan-cox-1112537
3,Tim David,RCB,,Middle order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/tim-david-892749
4,Virat Kohli,RCB,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/virat-kohli-253802
5,Devdutt Padikkal,RCB,,Top order Batter,Left,,,,,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026
6,Phil Salt,RCB,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/phil-salt-669365
7,Jitesh Sharma,RCB,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/jitesh-sharma-721867
8,Jacob Bethell,RCB,,Batting Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/jacob-bethell-1194959
9,Kanishk Chouhan,RCB,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/kanishk-chouhan-1490396
10,Venkatesh Iyer,RCB,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403
11,Vihaan Malhotra,RCB,,Batting Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/vihaan-malhotra-1354132
12,Mangesh Yadav,RCB,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/mangesh-yadav-1515303
13,Krunal Pandya,RCB,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/krunal-pandya-471342
14,Romario Shepherd,RCB,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/romario-shepherd-677077
15,Abhinandan Singh,RCB,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/abhinandan-singh-1449085
16,Satvik Deswal,RCB,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/satvik-deswal-1515302
17,Jacob Duffy,RCB,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/jacob-duffy-547766
18,Josh Hazlewood,RCB,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284
19,Bhuvneshwar Kumar,RCB,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016
20,Vicky Ostwal,RCB,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/vicky-ostwal-1292520
21,Rasikh Salam,RCB,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/rasikh-salam-1161489
22,Suyash Sharma,RCB,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/suyash-sharma-1350792
23,Swapnil Singh,RCB,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/swapnil-singh-232292
